metric,measure,which_comparisons
MUSE_cloud,0.9622514347235361,SAME
MUSE_cloud,0.818729716539383,SAME
MUSE_cloud,0.9047107857007247,SAME
MUSE_cloud,0.9401544332504272,SAME
MUSE_cloud,0.8509260416030884,SAME
MUSE_cloud,0.891302357117335,SAME
MUSE_cloud,0.9029603898525238,SAME
MUSE_cloud,0.8134515366771005,SAME
MUSE_cloud,0.7828775180710686,SAME
MUSE_cloud,0.9159066362513436,SAME
MUSE_cloud,0.9044514728917016,SAME
MUSE_cloud,0.6713673727852958,SAME
MUSE_cloud,0.9182592133680979,SAME
MUSE_cloud,0.8637866215272383,SAME
MUSE_cloud,0.8915241704537318,SAME
MUSE_cloud,0.8453844368457795,SAME
MUSE_cloud,0.9472666015991797,SAME
MUSE_cloud,0.8933508664369583,SAME
MUSE_cloud,0.9326162423406329,SAME
MUSE_cloud,1.0000000238418578,SAME
MUSE_cloud,0.9197264185973576,SAME
MUSE_cloud,1.0000001192092896,SAME
MUSE_cloud,0.7708651060238481,SAME
MUSE_cloud,0.9418500175942546,SAME
MUSE_cloud,0.8799958544618943,SAME
MUSE_cloud,0.9228736324743791,SAME
MUSE_cloud,0.9331495563189188,SAME
MUSE_cloud,0.8182825698302343,SAME
MUSE_cloud,0.8849014540513357,SAME
MUSE_cloud,0.9225119683477614,SAME
MUSE_cloud,0.8191431132810456,SAME
MUSE_cloud,1.0000000298023224,SAME
MUSE_cloud,0.42682331521064043,DIFF
MUSE_cloud,0.5748846381902695,DIFF
MUSE_cloud,0.6928336173295975,DIFF
MUSE_cloud,0.7039982566708013,DIFF
MUSE_cloud,0.4734727023612885,DIFF
MUSE_cloud,0.587485888174602,DIFF
MUSE_cloud,0.900965541601181,DIFF
MUSE_cloud,0.637816345221118,DIFF
MUSE_cloud,0.4665386132572008,DIFF
MUSE_cloud,0.6507677733898163,DIFF
MUSE_cloud,0.6742743280800906,DIFF
MUSE_cloud,0.7720033874114355,DIFF
MUSE_cloud,0.6968591050668196,DIFF
MUSE_cloud,0.4434163990345868,DIFF
MUSE_cloud,0.6256912901349689,DIFF
MUSE_cloud,0.8858953217665354,DIFF
MUSE_cloud,0.6402519366570881,DIFF
MUSE_cloud,0.5938109683990479,DIFF
MUSE_cloud,0.3577026044949889,DIFF
MUSE_cloud,0.6069817798478263,DIFF
MUSE_cloud,0.7238389970734715,DIFF
MUSE_cloud,0.5938602645288814,DIFF
MUSE_cloud,0.34832671049394104,DIFF
MUSE_cloud,0.5733678476376967,DIFF
MUSE_cloud,0.4714936587740393,DIFF
MUSE_cloud,0.5895359205163043,DIFF
MUSE_cloud,0.5299379229545593,DIFF
MUSE_cloud,0.3821020942358744,DIFF
MUSE_cloud,0.5946970005830129,DIFF
MUSE_cloud,0.6602320532004039,DIFF
MUSE_cloud,0.6750557886229621,DIFF
MUSE_cloud,0.43860064103053165,DIFF
MUSE_cloud,0.8076294852154595,DIFF
MUSE_cloud,0.5420762151479721,DIFF
MUSE_cloud,0.7300594799658832,DIFF
MUSE_cloud,0.7081220683952173,DIFF
MUSE_cloud,0.6181657457351685,DIFF
MUSE_cloud,0.6693212172159781,DIFF
MUSE_cloud,0.7232675751050314,DIFF
MUSE_cloud,0.817234375260093,DIFF
MUSE_cloud,0.4978902205824852,DIFF
MUSE_cloud,0.5460957856405348,DIFF
MUSE_cloud,0.40718868374824524,DIFF
MUSE_cloud,0.5011892056465149,DIFF
MUSE_cloud,0.45103129212345394,DIFF
MUSE_cloud,0.566798466257751,DIFF
MUSE_cloud,0.6053234905004501,DIFF
MUSE_cloud,0.7827583253383636,DIFF
MUSE_cloud,0.72732432352172,DIFF
MUSE_cloud,0.46197381522506475,DIFF
MUSE_cloud,0.5772814949353536,DIFF
MUSE_cloud,0.6740852058506929,DIFF
MUSE_cloud,0.6034495187433142,DIFF
MUSE_cloud,0.5954921826720238,DIFF
MUSE_cloud,0.5465167537331581,DIFF
MUSE_cloud,0.8083068802952766,DIFF
MUSE_cloud,0.564792961591766,DIFF
MUSE_cloud,0.6713335985938708,DIFF
MUSE_cloud,0.3918774301807086,DIFF
MUSE_cloud,0.47810680232942104,DIFF
MUSE_cloud,0.6632828017075857,DIFF
MUSE_cloud,0.6899474908908209,DIFF
MUSE_cloud,0.7658230443795522,DIFF
MUSE_cloud,0.569537885983785,DIFF
MUSE_cloud,0.5521414632147009,DIFF
MUSE_cloud,0.6044486028992612,DIFF
MUSE_cloud,0.40116240456700325,DIFF
MUSE_cloud,0.6289081871509552,DIFF
MUSE_cloud,0.6036739150683085,DIFF
MUSE_cloud,0.747739330927531,DIFF
MUSE_cloud,0.3705101639032364,DIFF
